patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
238,logreg,Raw_C20.0,-0.825,0.1939,0.0908,4.17
238,logreg,HMM_b0.4*_C20.0,-0.825,0.2395,0.1147,8.48
238,logreg,HMM_b0.6_C20.0,-0.825,0.2395,0.1141,9.07
238,logreg,HMM_b0.7_C20.0,-0.825,0.2395,0.1141,9.07
238,logreg,HMM_b0.8_C20.0,-0.825,0.2395,0.1141,9.07
238,logreg,HMM_b0.85_C20.0,-0.825,0.2395,0.1141,9.07
238,logreg,HMM_b0.9_C20.0,-0.825,0.2586,0.1209,9.74
238,logreg,HMM_b0.95_C20.0,-0.825,0.2586,0.1209,9.74
238,logreg,HMM_b1.0_C20.0,-0.825,0.2586,0.1206,10.52
238,logreg,HMM_b1.1_C20.0,-0.825,0.2586,0.1206,10.52
238,logreg+features,Raw_C20.0,-0.825,0.2015,0.0975,3.81
238,logreg+features,HMM_b0.4*_C20.0,-0.825,0.2205,0.1064,7.97
238,logreg+features,HMM_b0.6_C20.0,-0.825,0.2395,0.1141,9.07
238,logreg+features,HMM_b0.7_C20.0,-0.825,0.2548,0.1198,9.74
238,logreg+features,HMM_b0.8_C20.0,-0.825,0.2548,0.1198,9.74
238,logreg+features,HMM_b0.85_C20.0,-0.825,0.2548,0.1198,9.74
238,logreg+features,HMM_b0.9_C20.0,-0.825,0.2548,0.1195,10.52
238,logreg+features,HMM_b0.95_C20.0,-0.825,0.2548,0.1195,10.52
238,logreg+features,HMM_b1.0_C20.0,-0.825,0.2548,0.1195,10.52
238,logreg+features,HMM_b1.1_C20.0,-0.825,0.2548,0.1195,10.52
238,ensemble,Raw_w0.7,-0.825,0.1901,0.0928,3.93
238,ensemble,HMM_b0.4*_w0.7,-0.825,0.1255,0.066,15.47
238,ensemble,HMM_b0.6_w0.7,-0.825,0.1293,0.068,17.53
238,ensemble,HMM_b0.7_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b0.8_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b0.85_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b0.9_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b0.95_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b1.0_w0.7,-0.825,0.1483,0.078,20.23
238,ensemble,HMM_b1.1_w0.7,-0.825,0.1483,0.078,20.23
