patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
288,logreg,Raw_C1.0,-0.5081,0.2075,0.1286,3.98
288,logreg,HMM_b0.8*_C1.0,-0.5081,0.2012,0.1054,9.57
288,logreg,HMM_b0.85_C1.0,-0.5081,0.2012,0.1054,9.57
288,logreg,HMM_b0.9_C1.0,-0.5081,0.2012,0.1054,9.57
288,logreg,HMM_b0.95_C1.0,-0.5081,0.2012,0.1054,9.57
288,logreg,HMM_b1.0_C1.0,-0.5081,0.2012,0.1054,9.57
288,logreg+features,Raw_C1.0,-0.5081,0.2106,0.1302,3.98
288,logreg+features,HMM_b0.8*_C1.0,-0.5081,0.1903,0.0972,9.57
288,logreg+features,HMM_b0.85_C1.0,-0.5081,0.1997,0.1046,9.86
288,logreg+features,HMM_b0.9_C1.0,-0.5081,0.1981,0.1034,9.86
288,logreg+features,HMM_b0.95_C1.0,-0.5081,0.1981,0.1034,9.86
288,logreg+features,HMM_b1.0_C1.0,-0.5081,0.1981,0.1034,9.86
288,ensemble,Raw_w0.7,-0.5081,0.2090,0.1288,4.30
288,ensemble,HMM_b0.8*_w0.7,-0.5081,0.1997,0.1061,11.65
288,ensemble,HMM_b0.85_w0.7,-0.5081,0.1997,0.1061,11.65
288,ensemble,HMM_b0.9_w0.7,-0.5081,0.2028,0.1073,12.09
288,ensemble,HMM_b0.95_w0.7,-0.5081,0.2028,0.1073,12.09
288,ensemble,HMM_b1.0_w0.7,-0.5081,0.2028,0.1073,12.09
