patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
326,logreg,Raw_C20.0,-47.3089,0.1378,0.1065,2.65
326,logreg,HMM_b0.4*_C20.0,-47.3089,0.1505,0.0933,5.03
326,logreg,HMM_b0.6_C20.0,-47.3089,0.1505,0.0922,5.16
326,logreg,HMM_b0.7_C20.0,-47.3089,0.1505,0.092,5.16
326,logreg,HMM_b0.8_C20.0,-47.3089,0.1403,0.0858,5.44
326,logreg,HMM_b0.85_C20.0,-47.3089,0.1403,0.0858,5.44
326,logreg,HMM_b0.9_C20.0,-47.3089,0.1403,0.0858,5.44
326,logreg,HMM_b0.95_C20.0,-47.3089,0.1429,0.0874,5.76
326,logreg,HMM_b1.0_C20.0,-47.3089,0.1505,0.0912,5.76
326,logreg,HMM_b1.1_C20.0,-47.3089,0.1505,0.0912,5.76
326,logreg+features,Raw_C20.0,-47.3089,0.1378,0.1063,2.74
326,logreg+features,HMM_b0.4*_C20.0,-47.3089,0.1556,0.0947,5.03
326,logreg+features,HMM_b0.6_C20.0,-47.3089,0.1556,0.0947,5.03
326,logreg+features,HMM_b0.7_C20.0,-47.3089,0.1556,0.0937,5.16
326,logreg+features,HMM_b0.8_C20.0,-47.3089,0.1454,0.0875,5.3
326,logreg+features,HMM_b0.85_C20.0,-47.3089,0.1454,0.0874,5.44
326,logreg+features,HMM_b0.9_C20.0,-47.3089,0.1454,0.0874,5.44
326,logreg+features,HMM_b0.95_C20.0,-47.3089,0.148,0.089,5.94
326,logreg+features,HMM_b1.0_C20.0,-47.3089,0.1556,0.0927,5.94
326,logreg+features,HMM_b1.1_C20.0,-47.3089,0.1556,0.0927,5.94
326,ensemble,Raw_w0.4,-47.3089,0.1403,0.102,2.68
326,ensemble,HMM_b0.4*_w0.4,-47.3089,0.1582,0.0932,8.71
326,ensemble,HMM_b0.6_w0.4,-47.3089,0.1862,0.102,10.05
326,ensemble,HMM_b0.7_w0.4,-47.3089,0.1862,0.102,10.05
326,ensemble,HMM_b0.8_w0.4,-47.3089,0.2066,0.1101,10.59
326,ensemble,HMM_b0.85_w0.4,-47.3089,0.2066,0.1091,11.2
326,ensemble,HMM_b0.9_w0.4,-47.3089,0.2066,0.1094,11.53
326,ensemble,HMM_b0.95_w0.4,-47.3089,0.2066,0.1094,11.53
326,ensemble,HMM_b1.0_w0.4,-47.3089,0.2194,0.1144,12.25
326,ensemble,HMM_b1.1_w0.4,-47.3089,0.2372,0.1189,16.33
