patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
293,logreg,Raw_C10.0,-0.926,0.2745,0.1049,2.87
293,logreg,HMM_b0.4*_C10.0,-0.926,0.3,0.158,9.79
293,logreg,HMM_b0.6_C10.0,-0.926,0.283,0.152,10.22
293,logreg,HMM_b0.7_C10.0,-0.926,0.2915,0.1562,10.68
293,logreg,HMM_b0.8_C10.0,-0.926,0.2915,0.1562,10.68
293,logreg,HMM_b0.85_C10.0,-0.926,0.2915,0.1562,10.68
293,logreg,HMM_b0.9_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg,HMM_b0.95_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg,HMM_b1.0_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg,HMM_b1.1_C10.0,-0.926,0.3,0.1639,11.75
293,logreg+features,Raw_C10.0,-0.926,0.2723,0.1027,3.05
293,logreg+features,HMM_b0.4*_C10.0,-0.926,0.3,0.1582,9.4
293,logreg+features,HMM_b0.6_C10.0,-0.926,0.3,0.158,9.79
293,logreg+features,HMM_b0.7_C10.0,-0.926,0.2915,0.1562,10.68
293,logreg+features,HMM_b0.8_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg+features,HMM_b0.85_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg+features,HMM_b0.9_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg+features,HMM_b0.95_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg+features,HMM_b1.0_C10.0,-0.926,0.2915,0.1574,11.19
293,logreg+features,HMM_b1.1_C10.0,-0.926,0.3,0.1639,11.75
293,ensemble,Raw_w0.7,-0.926,0.2723,0.1057,3.05
293,ensemble,HMM_b0.4*_w0.7,-0.926,0.2915,0.1391,14.24
293,ensemble,HMM_b0.6_w0.7,-0.926,0.2915,0.1402,16.21
293,ensemble,HMM_b0.7_w0.7,-0.926,0.2936,0.1436,17.41
293,ensemble,HMM_b0.8_w0.7,-0.926,0.3021,0.149,18.8
293,ensemble,HMM_b0.85_w0.7,-0.926,0.3021,0.149,18.8
293,ensemble,HMM_b0.9_w0.7,-0.926,0.3021,0.149,18.8
293,ensemble,HMM_b0.95_w0.7,-0.926,0.3021,0.149,18.8
293,ensemble,HMM_b1.0_w0.7,-0.926,0.2936,0.1338,20.43
293,ensemble,HMM_b1.1_w0.7,-0.926,0.2936,0.1338,20.43
