patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
239,knn,Raw,-2.3681,0.6257,0.3239,6.58
239,knn,EMA_a0.3,-2.3681,0.6842,0.2708,57.00
239,knn,EMA_a0.5,-2.3681,0.6784,0.3121,15.55
239,knn,EMA_a0.7,-2.3681,0.6316,0.2931,9.00
239,knn,HMM_b0.2,-2.3681,0.6901,0.2722,171.00
239,knn,HMM_b0.5,-2.3681,0.6901,0.2722,171.00
239,knn,HMM_b0.8,-2.3681,0.6901,0.2722,171.00
239,logreg,Raw_C10.0,-2.3681,0.6491,0.3238,7.43
239,logreg,EMA_a0.3_C10.0,-2.3681,0.6842,0.3270,19.00
239,logreg,EMA_a0.5_C10.0,-2.3681,0.6374,0.3170,9.00
239,logreg,EMA_a0.7_C10.0,-2.3681,0.6433,0.3207,8.14
239,logreg,HMM_b0.2_C10.0,-2.3681,0.6433,0.3077,11.40
239,logreg,HMM_b0.5_C10.0,-2.3681,0.6433,0.3077,11.40
239,logreg,HMM_b0.8_C10.0,-2.3681,0.6433,0.3077,11.40
