patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
304,knn,Raw,-3.7224,0.2704,0.2138,2.63
304,knn,EMA_a0.3,-3.7224,0.2830,0.2257,4.71
304,knn,EMA_a0.5,-3.7224,0.2846,0.2259,3.59
304,knn,EMA_a0.7,-3.7224,0.2720,0.2161,3.00
304,knn,HMM_b0.2,-3.7224,0.3003,0.2323,5.89
304,knn,HMM_b0.5,-3.7224,0.2972,0.2249,6.24
304,knn,HMM_b0.8,-3.7224,0.2877,0.2191,6.49
304,logreg,Raw_C10.0,-3.7224,0.2720,0.2238,2.56
304,logreg,EMA_a0.3_C10.0,-3.7224,0.3302,0.2616,5.48
304,logreg,EMA_a0.5_C10.0,-3.7224,0.3035,0.2435,3.88
304,logreg,EMA_a0.7_C10.0,-3.7224,0.2783,0.2284,3.16
304,logreg,HMM_b0.2_C10.0,-3.7224,0.3475,0.2553,7.85
304,logreg,HMM_b0.5_C10.0,-3.7224,0.3538,0.2563,8.96
304,logreg,HMM_b0.8_C10.0,-3.7224,0.3443,0.2428,9.49
