patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
272,logreg,Raw_C1.0,-0.9978,0.188,0.1265,3.41
272,logreg,HMM_b0.4*_C1.0,-0.9978,0.1842,0.1199,6.57
272,logreg,HMM_b0.6_C1.0,-0.9978,0.1898,0.1214,7.19
272,logreg,HMM_b0.7_C1.0,-0.9978,0.1936,0.1232,7.39
272,logreg,HMM_b0.8_C1.0,-0.9978,0.1955,0.1239,8.31
272,logreg,HMM_b0.85_C1.0,-0.9978,0.1955,0.1239,8.31
272,logreg,HMM_b0.9_C1.0,-0.9978,0.1955,0.1243,8.58
272,logreg,HMM_b0.95_C1.0,-0.9978,0.1974,0.1259,8.87
272,logreg,HMM_b1.0_C1.0,-0.9978,0.1974,0.1255,8.87
272,logreg,HMM_b1.1_C1.0,-0.9978,0.203,0.1283,9.85
272,logreg+features,Raw_C1.0,-0.9978,0.1992,0.1388,3.5
272,logreg+features,HMM_b0.4*_C1.0,-0.9978,0.2011,0.1328,6.82
272,logreg+features,HMM_b0.6_C1.0,-0.9978,0.1936,0.1255,7.19
272,logreg+features,HMM_b0.7_C1.0,-0.9978,0.1917,0.1211,7.6
272,logreg+features,HMM_b0.8_C1.0,-0.9978,0.1898,0.1216,7.82
272,logreg+features,HMM_b0.85_C1.0,-0.9978,0.1898,0.1216,7.82
272,logreg+features,HMM_b0.9_C1.0,-0.9978,0.1861,0.1209,8.31
272,logreg+features,HMM_b0.95_C1.0,-0.9978,0.1711,0.1145,8.87
272,logreg+features,HMM_b1.0_C1.0,-0.9978,0.1711,0.1152,9.17
272,logreg+features,HMM_b1.1_C1.0,-0.9978,0.1861,0.1225,10.64
272,ensemble,Raw_w0.6,-0.9978,0.1767,0.1021,3.52
272,ensemble,HMM_b0.4*_w0.6,-0.9978,0.1861,0.1181,7.49
272,ensemble,HMM_b0.6_w0.6,-0.9978,0.1898,0.119,8.72
272,ensemble,HMM_b0.7_w0.6,-0.9978,0.1936,0.1225,9.02
272,ensemble,HMM_b0.8_w0.6,-0.9978,0.1842,0.1037,9.33
272,ensemble,HMM_b0.85_w0.6,-0.9978,0.1748,0.0941,9.33
272,ensemble,HMM_b0.9_w0.6,-0.9978,0.1786,0.0966,9.33
272,ensemble,HMM_b0.95_w0.6,-0.9978,0.1805,0.0976,9.5
272,ensemble,HMM_b1.0_w0.6,-0.9978,0.1805,0.0976,9.5
272,ensemble,HMM_b1.1_w0.6,-0.9978,0.1823,0.0984,10.23
