patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
238,logreg,Raw_C20.0,-0.7674,0.4096,0.2551,2.98
238,logreg,HMM_b0.4*_C20.0,-0.7674,0.5129,0.3121,8.21
238,logreg,HMM_b0.6_C20.0,-0.7674,0.524,0.3151,9.34
238,logreg,HMM_b0.7_C20.0,-0.7674,0.524,0.3151,9.34
238,logreg,HMM_b0.8_C20.0,-0.7674,0.524,0.3151,9.34
238,logreg,HMM_b0.85_C20.0,-0.7674,0.524,0.3118,10.04
238,logreg,HMM_b0.9_C20.0,-0.7674,0.524,0.3118,10.04
238,logreg,HMM_b0.95_C20.0,-0.7674,0.5387,0.3204,10.84
238,logreg,HMM_b1.0_C20.0,-0.7674,0.5535,0.3306,12.9
238,logreg,HMM_b1.1_C20.0,-0.7674,0.5978,0.3716,18.07
238,logreg+features,Raw_C20.0,-0.7674,0.4133,0.2563,3.04
238,logreg+features,HMM_b0.4*_C20.0,-0.7674,0.5129,0.3101,7.74
238,logreg+features,HMM_b0.6_C20.0,-0.7674,0.5203,0.3144,9.34
238,logreg+features,HMM_b0.7_C20.0,-0.7674,0.5203,0.3144,9.34
238,logreg+features,HMM_b0.8_C20.0,-0.7674,0.5203,0.3111,10.04
238,logreg+features,HMM_b0.85_C20.0,-0.7674,0.5203,0.3111,10.04
238,logreg+features,HMM_b0.9_C20.0,-0.7674,0.5387,0.3145,10.84
238,logreg+features,HMM_b0.95_C20.0,-0.7674,0.5535,0.3306,12.9
238,logreg+features,HMM_b1.0_C20.0,-0.7674,0.5535,0.3306,12.9
238,logreg+features,HMM_b1.1_C20.0,-0.7674,0.583,0.3492,15.94
238,ensemble,Raw_w0.7,-0.7674,0.4022,0.2578,3.08
238,ensemble,HMM_b0.4*_w0.7,-0.7674,0.4834,0.3314,7.74
238,ensemble,HMM_b0.6_w0.7,-0.7674,0.5092,0.3303,11.78
238,ensemble,HMM_b0.7_w0.7,-0.7674,0.5092,0.3303,11.78
238,ensemble,HMM_b0.8_w0.7,-0.7674,0.524,0.3479,12.9
238,ensemble,HMM_b0.85_w0.7,-0.7674,0.524,0.3479,12.9
238,ensemble,HMM_b0.9_w0.7,-0.7674,0.524,0.3479,12.9
238,ensemble,HMM_b0.95_w0.7,-0.7674,0.4945,0.2758,14.26
238,ensemble,HMM_b1.0_w0.7,-0.7674,0.4945,0.2758,14.26
238,ensemble,HMM_b1.1_w0.7,-0.7674,0.5351,0.2999,18.07
