patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
301,logreg,Raw_C0.5,-1.813,0.1812,0.1057,2.99
301,logreg,HMM_b0.4_C0.5,-1.813,0.2615,0.1382,5.45
301,logreg,HMM_b0.6*_C0.5,-1.813,0.2706,0.1428,5.74
301,logreg,HMM_b0.7_C0.5,-1.813,0.2683,0.1328,6.06
301,logreg,HMM_b0.8_C0.5,-1.813,0.2683,0.1334,6.23
301,logreg,HMM_b0.85_C0.5,-1.813,0.2683,0.1334,6.23
301,logreg,HMM_b0.9_C0.5,-1.813,0.2683,0.1334,6.23
301,logreg,HMM_b0.95_C0.5,-1.813,0.2683,0.1334,6.23
301,logreg,HMM_b1.0_C0.5,-1.813,0.2683,0.1334,6.23
301,logreg,HMM_b1.1_C0.5,-1.813,0.2362,0.1157,7.03
301,logreg+features,Raw_C0.5,-1.813,0.1835,0.1082,3.07
301,logreg+features,HMM_b0.4_C0.5,-1.813,0.2683,0.1441,5.45
301,logreg+features,HMM_b0.6*_C0.5,-1.813,0.2798,0.1479,5.59
301,logreg+features,HMM_b0.7_C0.5,-1.813,0.2661,0.1314,5.89
301,logreg+features,HMM_b0.8_C0.5,-1.813,0.2661,0.1319,6.06
301,logreg+features,HMM_b0.85_C0.5,-1.813,0.2661,0.132,6.06
301,logreg+features,HMM_b0.9_C0.5,-1.813,0.2661,0.132,6.06
301,logreg+features,HMM_b0.95_C0.5,-1.813,0.2661,0.132,6.06
301,logreg+features,HMM_b1.0_C0.5,-1.813,0.2661,0.132,6.06
301,logreg+features,HMM_b1.1_C0.5,-1.813,0.2339,0.1147,6.81
301,ensemble,Raw_w0.8,-1.813,0.1743,0.0954,2.95
301,ensemble,HMM_b0.4_w0.8,-1.813,0.2064,0.1178,7.27
301,ensemble,HMM_b0.6*_w0.8,-1.813,0.1927,0.0932,9.91
301,ensemble,HMM_b0.7_w0.8,-1.813,0.1927,0.0932,9.91
301,ensemble,HMM_b0.8_w0.8,-1.813,0.1697,0.0749,10.9
301,ensemble,HMM_b0.85_w0.8,-1.813,0.1697,0.0749,10.9
301,ensemble,HMM_b0.9_w0.8,-1.813,0.1583,0.0612,11.47
301,ensemble,HMM_b0.95_w0.8,-1.813,0.1697,0.0635,13.62
301,ensemble,HMM_b1.0_w0.8,-1.813,0.1697,0.0623,15.57
301,ensemble,HMM_b1.1_w0.8,-1.813,0.1835,0.063,19.82
