patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
239,logreg,Raw_C10.0,-2.3,0.655,0.3267,7.43
239,logreg,HMM_b0.4*_C10.0,-2.3,0.6199,0.3089,10.06
239,logreg,HMM_b0.6_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b0.7_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b0.8_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b0.85_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b0.9_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b0.95_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b1.0_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg,HMM_b1.1_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,Raw_C10.0,-2.3,0.6491,0.3114,8.14
239,logreg+features,HMM_b0.4*_C10.0,-2.3,0.6199,0.3089,10.06
239,logreg+features,HMM_b0.6_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b0.7_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b0.8_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b0.85_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b0.9_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b0.95_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b1.0_C10.0,-2.3,0.6433,0.3077,11.4
239,logreg+features,HMM_b1.1_C10.0,-2.3,0.6433,0.3077,11.4
239,ensemble,Raw_w0.7,-2.3,0.6491,0.3114,8.14
239,ensemble,HMM_b0.4*_w0.7,-2.3,0.7076,0.3417,57.0
239,ensemble,HMM_b0.6_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b0.7_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b0.8_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b0.85_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b0.9_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b0.95_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b1.0_w0.7,-2.3,0.6901,0.2722,171.0
239,ensemble,HMM_b1.1_w0.7,-2.3,0.6901,0.2722,171.0
