patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
288,logreg,Raw_C0.5,-0.8457,0.1626,0.0781,11.5
288,logreg,HMM_b0.4*_C0.5,-0.8457,0.1626,0.076,21.41
288,logreg,HMM_b0.6_C0.5,-0.8457,0.161,0.0764,24.84
288,logreg,HMM_b0.7_C0.5,-0.8457,0.1691,0.0796,27.0
288,logreg,HMM_b0.8_C0.5,-0.8457,0.1691,0.0776,32.68
288,logreg,HMM_b0.85_C0.5,-0.8457,0.1691,0.0776,32.68
288,logreg,HMM_b0.9_C0.5,-0.8457,0.1691,0.0776,32.68
288,logreg,HMM_b0.95_C0.5,-0.8457,0.1691,0.0776,32.68
288,logreg,HMM_b1.0_C0.5,-0.8457,0.1675,0.0732,32.68
288,logreg,HMM_b1.1_C0.5,-0.8457,0.1675,0.0732,32.68
288,logreg+features,Raw_C0.1,-0.8457,0.1707,0.0863,8.75
288,logreg+features,HMM_b0.4*_C0.1,-0.8457,0.1723,0.0856,17.74
288,logreg+features,HMM_b0.6_C0.1,-0.8457,0.1723,0.0868,20.03
288,logreg+features,HMM_b0.7_C0.1,-0.8457,0.1723,0.0868,20.03
288,logreg+features,HMM_b0.8_C0.1,-0.8457,0.1723,0.0868,20.03
288,logreg+features,HMM_b0.85_C0.1,-0.8457,0.1771,0.089,21.41
288,logreg+features,HMM_b0.9_C0.1,-0.8457,0.1852,0.0928,23.0
288,logreg+features,HMM_b0.95_C0.1,-0.8457,0.1723,0.084,24.84
288,logreg+features,HMM_b1.0_C0.1,-0.8457,0.1707,0.0807,24.84
288,logreg+features,HMM_b1.1_C0.1,-0.8457,0.1707,0.0811,24.84
288,ensemble,Raw_w0.3,-0.8457,0.161,0.0613,16.78
288,ensemble,HMM_b0.4*_w0.3,-0.8457,0.1594,0.0624,47.77
288,ensemble,HMM_b0.6_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b0.7_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b0.8_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b0.85_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b0.9_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b0.95_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b1.0_w0.3,-0.8457,0.1514,0.0453,69.0
288,ensemble,HMM_b1.1_w0.3,-0.8457,0.1514,0.0453,69.0
